frame,timestamp,dev_zscore,grip_spread,dev_alert,grip_alert,combined_alert
427,1788037826.495548,131.3882270508075,0.2982890009880066,True,True,True
428,1788037826.548063,141.45573391339096,0.33420485258102417,True,True,True
429,1788037826.5738077,141.32472483034962,0.331125408411026,True,True,True
430,1788037826.6204786,147.52746383394742,0.36009079217910767,True,True,True
431,1788037826.6588554,133.34052318499675,0.346319317817688,True,True,True
432,1788037826.696014,132.40135086106227,0.35231977701187134,True,True,True
433,1788037826.736278,128.0139550842855,0.33998918533325195,True,True,True
434,1788037826.770884,128.69948869556848,0.3357565402984619,False,True,True
435,1788037826.8210745,121.79179539367802,0.3453649580478668,False,True,True
436,1788037826.863709,119.98673678439197,0.3307952582836151,False,False,False
437,1788037826.9057088,125.61084216859666,0.3421309292316437,False,False,False
438,1788037826.9640238,116.58201400990781,0.3411121666431427,False,False,False
439,1788037827.009329,117.38705790854283,0.33775630593299866,False,False,False
440,1788037827.0427427,116.76904966760054,0.37056174874305725,False,True,True
441,1788037827.0702093,118.55294215953319,0.3592020273208618,False,False,False
442,1788037827.0992653,117.40989231629742,0.381160706281662,False,False,False
443,1788037827.1373637,116.85122779275808,0.3560187816619873,False,False,False
444,1788037827.1708748,120.01529616854941,0.3605004847049713,False,False,False
445,1788037827.2215946,119.03099019092758,0.34997570514678955,False,False,False
446,1788037827.2643547,113.05551586796555,0.3553522229194641,False,False,False
447,1788037827.3037755,121.70352379402838,0.35561543703079224,False,False,False
448,1788037827.3371377,120.76049671518837,0.34500354528427124,False,False,False
449,1788037827.3882532,128.90583729106996,0.34016329050064087,False,False,False
450,1788037827.4371152,124.9504915761449,0.3585208058357239,False,False,False
451,1788037827.4649339,127.21809604618572,0.35633283853530884,False,False,False
452,1788037827.503448,122.64097372953592,0.35817012190818787,False,False,False
453,1788037827.5371087,123.73809476669845,0.3607504069805145,False,False,False
454,1788037827.5729387,132.82892024701582,0.3482193052768707,False,False,False
455,1788037827.620359,126.25690082851854,0.35249000787734985,False,False,False
456,1788037827.6867,126.96258253359717,0.3534630537033081,False,False,False
457,1788037827.7367628,129.32185172662437,0.3537479639053345,False,False,False
458,1788037827.7715387,128.19341037625557,0.3586883842945099,False,False,False
459,1788037827.8226492,127.92432365155987,0.36053329706192017,False,False,False
460,1788037827.8662705,130.35923103239304,0.36961695551872253,False,False,False
461,1788037827.9044921,128.01778899008204,0.36433327198028564,False,False,False
462,1788037827.9535859,132.87809845372178,0.35964229702949524,False,False,False
463,1788037828.00413,147.91881033037276,0.36862537264823914,False,False,False
464,1788037828.0448663,145.12784828542183,0.36776912212371826,False,False,False
465,1788037828.0875945,145.02366874615373,0.3621700406074524,False,False,False
466,1788037828.148976,147.18937147769947,0.36786043643951416,False,False,False
467,1788037828.187737,147.82662890477894,0.367170512676239,False,False,False
468,1788037828.2226846,154.16344960257166,0.37138116359710693,False,False,False
469,1788037828.2734318,149.65466230240554,0.36300575733184814,False,False,False
470,1788037828.3227613,162.08437909881346,0.3595370352268219,False,False,False
471,1788037828.3732839,158.89687149557224,0.36870503425598145,False,False,False
472,1788037828.4242818,165.10515430231735,0.3660116195678711,False,False,False
473,1788037828.4675176,170.559063300241,0.36554574966430664,False,False,False
474,1788037828.509622,171.019529154385,0.3717328906059265,False,False,False
475,1788037828.5676355,174.54231297568327,0.3644754886627197,False,False,False
476,1788037828.611331,177.4915647803219,0.37867727875709534,False,False,False
477,1788037828.6676793,189.92763111932396,0.37366652488708496,False,False,False
478,1788037828.7107399,171.0583837143858,0.3870440125465393,False,False,False
479,1788037828.7453053,178.12310323058028,0.37461596727371216,False,False,False
480,1788037828.7954419,185.85230900855888,0.36991244554519653,False,False,False
481,1788037828.8457398,181.6987214569956,0.3637070059776306,False,False,False
482,1788037828.8981276,182.15536418534882,0.36466163396835327,False,False,False
483,1788037828.9255471,188.99808298154403,0.36662185192108154,False,False,False
484,1788037828.968607,183.86329591513226,0.36863547563552856,False,False,False
485,1788037828.998827,191.1975090117836,0.36269649863243103,False,False,False
486,1788037829.049708,190.6078758702864,0.3687131702899933,False,False,False
